"Date","Price","Open","High","Low","Vol.","Change %"
"29-04-2026","2,317.10","2,305.00","2,349.60","2,291.00","1.78M","1.21%"
"28-04-2026","2,289.50","2,321.00","2,334.40","2,281.10","1.63M","-1.67%"
"27-04-2026","2,328.30","2,334.90","2,362.80","2,325.00","1.10M","0.04%"
"24-04-2026","2,327.30","2,388.60","2,388.60","2,299.00","1.68M","-1.65%"
"23-04-2026","2,366.40","2,336.00","2,400.00","2,336.00","2.06M","-0.10%"
"22-04-2026","2,368.80","2,310.40","2,408.00","2,310.40","5.56M","2.51%"
"21-04-2026","2,310.70","2,238.70","2,335.70","2,227.20","3.22M","3.55%"
"20-04-2026","2,231.50","2,240.80","2,253.40","2,223.20","1.46M","-0.42%"
"17-04-2026","2,240.80","2,142.00","2,245.00","2,133.00","4.88M","4.75%"
"16-04-2026","2,139.10","2,158.00","2,163.70","2,129.10","1.85M","-0.86%"
"15-04-2026","2,157.60","2,140.90","2,168.00","2,140.90","1.55M","1.43%"
"13-04-2026","2,127.20","2,131.00","2,140.70","2,113.50","1.99M","-1.30%"
"10-04-2026","2,155.30","2,133.20","2,170.00","2,121.40","2.14M","1.04%"
"09-04-2026","2,133.20","2,145.50","2,162.90","2,115.00","2.51M","-0.58%"
"08-04-2026","2,145.60","2,130.00","2,192.80","2,130.00","3.79M","1.66%"
"07-04-2026","2,110.60","2,064.70","2,119.50","2,050.80","2.71M","1.24%"
"06-04-2026","2,084.80","2,065.30","2,092.80","2,041.90","1.66M","0.94%"
"02-04-2026","2,065.30","2,055.00","2,069.90","2,022.50","1.43M","0.03%"
"01-04-2026","2,064.70","2,119.90","2,119.90","2,052.00","2.03M","0.46%"
"30-03-2026","2,055.20","2,064.00","2,082.40","2,046.20","2.48M","-0.93%"